name;probability
org.apache.commons.math3.util.FastMathTest.testLogAccuracy();0.0685
org.apache.commons.math3.distribution.ParetoDistributionTest.testPreconditions();0.8147
org.apache.commons.math3.analysis.function.HarmonicOscillatorTest.testParametricUsage2();0.4882
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testLongly();0.3425
org.apache.commons.math3.linear.RRQRSolverTest.testUnderdetermined();0.1557
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatAbstractTest.testSimpleWithDecimals();0.5099
org.apache.commons.math3.stat.FrequencyTest.testSerial();0.3147
org.apache.commons.math3.geometry.euclidean.twod.Vector2DFormatAbstractTest.testNegativeX();0.4614
org.apache.commons.math3.util.ArithmeticUtilsTest.testPowInt();0.2439
org.apache.commons.math3.linear.BlockFieldMatrixTest.testGetColumn();0.2745
org.apache.commons.math3.linear.SparseFieldMatrixTest.testGetVectors();0.1750
org.apache.commons.math3.analysis.function.GaussianTest.testParametricUsage2();0.4882
org.apache.commons.math3.special.GammaTest.testGammaNegativeDouble();0.3674
org.apache.commons.math3.ode.nonstiff.MidpointFieldIntegratorTest.testDerivativesConsistency();0.6026
org.apache.commons.math3.distribution.EnumeratedRealDistributionTest.testCreateFromDoubles();0.5722
org.apache.commons.math3.stat.descriptive.ListUnivariateImplTest.testProductAndGeometricMean();0.2491
org.apache.commons.math3.linear.SingularValueDecompositionTest.testUOrthogonal();0.4259
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest.testLinear();0.3951
org.apache.commons.math3.linear.RealVectorAbstractTest.testGetEntry();0.1312
org.apache.commons.math3.special.GammaTest.testInvGamma1pm1Precondition2();0.5501
org.apache.commons.math3.linear.RealVectorTest.testGetSubVectorInvalidIndex3();0.5823
org.apache.commons.math3.analysis.differentiation.SparseGradientTest.testPrimitiveRemainder();0.1664
org.apache.commons.math3.special.GammaTest.testLogGammaNegative();0.4691
org.apache.commons.math3.geometry.spherical.oned.ArcTest.testSmall();0.1662
org.apache.commons.math3.geometry.euclidean.threed.RotationTest.testArray();0.2491
org.apache.commons.math3.ode.nonstiff.ThreeEighthesIntegratorTest.testDimensionCheck();0.3962
org.apache.commons.math3.stat.descriptive.summary.SumTest.testWeightedSum();0.4129
org.apache.commons.math3.geometry.euclidean.threed.FieldVector3DTest.testNegate();0.3193
org.apache.commons.math3.stat.interval.AgrestiCoullIntervalTest.testStandardInterval();0.2777
org.apache.commons.math3.geometry.euclidean.oned.Vector1DTest.testAdd();0.2250
org.apache.commons.math3.distribution.NormalDistributionTest.testMoments();0.3644
org.apache.commons.math3.fitting.CurveFitterTest.testMath304();0.3391
org.apache.commons.math3.linear.RealVectorAbstractTest.testEbeDivideDimensionMismatch();0.6583
org.apache.commons.math3.linear.QRDecompositionTest.testInvertTallSkinny();0.1510
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testMaxEvaluations();0.2432
org.apache.commons.math3.complex.ComplexFormatAbstractTest.testNegativeImaginary();0.3671
org.apache.commons.math3.optimization.direct.SimplexOptimizerNelderMeadTest.testMaximize1();0.2180
org.apache.commons.math3.geometry.spherical.twod.CircleTest.testInsideArc();0.1350
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest.testQuinticFunction();0.1976
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testSphere();0.3015
org.apache.commons.math3.analysis.function.SincTest.testDerivatives1Dot2Unnormalized();0.2672
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testNonPlanar();0.4683
org.apache.commons.math3.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseNonDefaultSetting();0.3597
org.apache.commons.math3.linear.LUDecompositionTest.testDimensions();0.4594
org.apache.commons.math3.linear.FieldMatrixImplTest.testGetEntry();0.1312
org.apache.commons.math3.linear.BlockFieldMatrixTest.testMultiply();0.3469
org.apache.commons.math3.distribution.ZipfDistributionTest.testSamplerHelper2();0.5008
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testRevert();0.3976
org.apache.commons.math3.geometry.enclosing.WelzlEncloser2DTest.testRegularPoints();0.1911
org.apache.commons.math3.linear.RealVectorAbstractTest.testSetSubVectorInvalidIndex1();0.6116
org.apache.commons.math3.linear.SparseFieldVectorTest.testWalkInDefaultOrderPreservingVisitor1();0.4383
org.apache.commons.math3.stat.descriptive.StorelessUnivariateStatisticAbstractTest.testEqualsAndHashCode();0.3114
org.apache.commons.math3.geometry.partitioning.utilities.AVLTreeTest.testDelete1();0.3425
org.apache.commons.math3.complex.ComplexTest.testAddInf();0.2911
org.apache.commons.math3.complex.ComplexTest.testScalarDivideZero();0.3674
org.apache.commons.math3.fitting.leastsquares.MinpackTest.testMinpackBox3Dimensional();0.5337
org.apache.commons.math3.distribution.FDistributionTest.testInverseCumulativeProbabilityExtremes();0.2981
org.apache.commons.math3.linear.MatrixUtilsTest.testSolveUpperTriangularSystem();0.2030
org.apache.commons.math3.ode.nonstiff.HighamHall54FieldIntegratorTest.testEvents();0.2060
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest.testMoreEstimatedParametersSimple();0.0934
org.apache.commons.math3.linear.SymmLQTest.testUnpreconditionedSolutionWithInitialGuess();0.1290
org.apache.commons.math3.distribution.EnumeratedRealDistributionTest.testIsSupportConnected();0.5896
org.apache.commons.math3.random.HaltonSequenceGeneratorTest.testSkip();0.1973
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest.testMaximize1();0.2180
org.apache.commons.math3.geometry.spherical.oned.ArcsSetTest.testSplitEmbedded();0.2957
org.apache.commons.math3.complex.QuaternionTest.testProductQuaternionQuaternion();0.8262
org.apache.commons.math3.linear.SparseRealMatrixTest.testTranspose();0.2308
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testLinearCombination2DSDS();0.1965
org.apache.commons.math3.linear.BlockRealMatrixTest.testMath209();0.2104
org.apache.commons.math3.primes.PrimesTest.testIsPrime();0.4483
org.apache.commons.math3.stat.descriptive.moment.StandardDeviationTest.testNaN();0.4246
org.apache.commons.math3.stat.descriptive.moment.SemiVarianceTest.testVarianceDecompMeanCutoff();0.2340
org.apache.commons.math3.complex.RootsOfUnityTest.testMathIllegalState2();0.5238
org.apache.commons.math3.linear.CholeskySolverTest.testSolve();0.2308
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testInitOutofbounds2();0.1234
org.apache.commons.math3.optimization.general.MinpackTest.testMinpackBard();0.4702
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest.testNoDataNPESSTO();0.4414
org.apache.commons.math3.stat.descriptive.moment.MeanTest.testWeightedMean();0.4612
org.apache.commons.math3.ml.clustering.DBSCANClustererTest.testCluster();0.5605
org.apache.commons.math3.util.MathArraysTest.testCopyOfInt2();0.3155
org.apache.commons.math3.ode.events.EventFilterTest.testHistory(org.apache.commons.math3.ode.events.FilterType,double,double,double,double);0.1448
org.apache.commons.math3.ode.ContinuousOutputFieldModelTest.testBoundaries();0.1043
org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizerWithQRTest.testMoreEstimatedParametersUnsorted();0.0934
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testInputSigmaOutOfRange();0.1234
org.apache.commons.math3.complex.ComplexTest.testAsinNaN();0.3932
org.apache.commons.math3.geometry.enclosing.WelzlEncloser2DTest.testReducingBall2();0.2955
org.apache.commons.math3.analysis.integration.RombergIntegratorTest.testSinFunction();0.1998
org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest.testAggregateStatisticalSummary();0.1848
org.apache.commons.math3.geometry.euclidean.threed.Vector3DTest.testDistanceSq();0.3861
org.apache.commons.math3.linear.SparseFieldVectorTest.testWalkInOptimizedOrderPreservingVisitor2();0.3736
org.apache.commons.math3.geometry.euclidean.threed.LineTest.testContains();0.1559
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest.testIllConditioned();0.4359
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMaximize2();0.2180
org.apache.commons.math3.geometry.euclidean.threed.RotationTest.testMatrix();0.3114
org.apache.commons.math3.stat.inference.BinomialTestTest.testBinomialTestExceptions();0.2334
org.apache.commons.math3.analysis.differentiation.SparseGradientTest.testSqrtDefinition();0.1109
org.apache.commons.math3.linear.EigenDecompositionTest.testDimension1();0.4311
org.apache.commons.math3.util.ResizableDoubleArrayTest.testAddElements();0.5289
org.apache.commons.math3.distribution.WeibullDistributionTest.testAlpha();0.5778
org.apache.commons.math3.distribution.BetaDistributionTest.testDensity();0.5732
org.apache.commons.math3.stat.FrequencyTest.testNonComparablePct();0.3449
org.apache.commons.math3.analysis.differentiation.SparseGradientTest.testCoshDefinition();0.1692
org.apache.commons.math3.ode.nonstiff.DormandPrince54FieldIntegratorTest.testBackward();0.3425
org.apache.commons.math3.distribution.TriangularDistributionTest.testMeanVariance();0.3606
org.apache.commons.math3.geometry.spherical.oned.S1PointTest.testS1Point();0.2366
org.apache.commons.math3.fraction.FractionTest.testDoubleConstructor();0.4465
org.apache.commons.math3.complex.ComplexFormatAbstractTest.testPositiveInfinity();0.0282
org.apache.commons.math3.distribution.MultivariateNormalMixtureModelDistributionTest.testPreconditionPositiveWeights();0.5671
org.apache.commons.math3.geometry.euclidean.oned.Vector1DTest.testNormSq();0.6207
org.apache.commons.math3.ml.clustering.FuzzyKMeansClustererTest.testCluster();0.5605
org.apache.commons.math3.genetics.UniformCrossoverTest.testRatioTooLow();0.4075
org.apache.commons.math3.analysis.interpolation.TricubicInterpolatingFunctionTest.testWave();0.2223
org.apache.commons.math3.stat.correlation.KendallsCorrelationTest.testBalancedJumble();0.2956
org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath290LEQ();0.2636
